Quadrat,Biotope,Tidal Height,Width (metres),Rock Type,Comments,,Actinea spp.,Actinia equina,Ahnfeltia plicata,Alaria esculenta,Anemonia viridis,Anthopleura thallia,Anurida maritima,Ascophyllum nodosum,Asterina gibbosa,Balanus perforatus,Bifurcaria bifurcata,Boergeseniella fruticulosa,Botryllus schlosseri,Bryozoan matt,Bunodactis verrucosa,Calliostoma zizyphinum,Cancer pagurus  ,Cancer pagurus juv.,Capprellidae,Carcinas maenus ,Ceramium spp.,Cereus pedunculatus,Chaetomorpha spp.,Chiton,Chondracanthus acicularis,Chondrus crispus,Chthamalus montagui,Cladophora rupestris,Cladostephus spongiosus,Codium fragile,Colopmenia peregrina,Corallina officinalis,Corallinaceae crust,Corallinaceae crust - Green,Coryphoblennius galerita,Dictyota dichotoma,Dilsea carnosa,Elminius modestus,Eulalia viridis,Fucus serratus,Fucus spiralis,Fucus vesiculosus,Furcellaria lumbricalis,Gammaridae,Gammarus salinus ,Gastroclonium ovatum,Gelidium spp.,Gibbula cineraria,Gibbula umbilicalis,Gracilaria spp.,Grateloupia filicina,Gymnogong crenulatus,Halichondria,Halurus equisetifolius,Heterosiphonia plumosa,Himanthalia elongata,Laminaria digitata,Lichina pygmaea,Linaeus longisimus ,Lipophrys pholis,Littorina littorea,Littorina nigrolineata,Littorina obtusata,Littorina saxatilis,Lomentaria articulata,Lomentaria clavellosa,Mastocarpus stellatus,Membranoptera alata,Mytilus edulis,Mytilus edulis juv.,Necora puber,Nucella lapillus,Ophiothrix fragilis ,Ophiura spp.,Osilinus lineatus,Osmundea spp.,Palmaria palmata,Patella pellucida,Patella spp.,Pelvetia canaliculata,Plocamium cartilagineum,Polysiphonia lanosa,Polysiphonia spp.,Pomatoceros spp.,Por. Por,Porcellana platycheles,Porifera - Green,Porifera - Green/White,Porifera - Orange,Porphyra spp.,Rhodothamniella floridula,Sargassum muticum,Semibalanus balanoides,Spirorbis,Ulva intestinalis,Ulva lactuca,Urticina felina ,Veined red undident. juv.,Verrucaria maura,Verrucaria mucosa,,
R1a,A1.123,Lower Low,10,Bedrock and Boulders,,Quadrat (0.25m2),,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,15%,5%,,,,,,,,,,5%,,,,,,1,,,,,,,60,5%,,,,,,,,,,20%,,,,,,,,,,,,,,10,,,,,,,,,,,,,400,,1%,,,,,,
R1b,A1.213,Upper Low,15,Bedrock,,Quadrat (0.25m2),,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,20%,,,,,,,,8%,,15%,,,,,,,,,,,,,,,,,,,,,,,,,2%,,,,,,,,,12,,,9,,,,,,,,,,,,,,,,,2%,,,,,,
R2a,Subtidal,Subtidal,,Boulders,Subtidal,Quadrat (0.25m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R3a,A1.1122,Upper Upper,20,Bedrock,,Quadrat (0.25m2),,,,,,,,,,,,,,,,,,,,,,,,,,,68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5%,,,,,,500,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,
R3b,A1.213,Upper Mid,50,Bedrock and Boulders,,Quadrat (0.25m2),,1,,,,,,,,,,,,,,,,,,,,,,,,,50%,,,,,,,,,,,,,,,20%,,,,,,,8,,,,,,,,,,,,3,,2,2,,,,,,,,,,,,10,,,23,,,,,4,,,,,,,,,,,,,,,,,,
R3c,A1.214,Lower Mid,30,Boulders,,Quadrat (0.25m2),,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,5%,,,,,,,90%,,,,,,,,4,3,,,,,,,,,,,,,,4,,,,,,,,,2,,,,,4,,6,,,,,50,,,,,,,,,,1000,,,,,,,,
R3d,A1.125,Lower Low,25,Boulders,,Quadrat (0.25m2),,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,10%,15%,,,,,,,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4a,A1.211,Upper Upper - Lower Upper,5,Bedrock,,Quadrat (0.25m2),,,,,,,,,,,,,,,,,,,,,,,,,,,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,,,,,8,,,
R4b,A1.213,Upper Mid- Upper Low,40,Bedrock,,Quadrat (0.25m2),,,,,,,,,,40,,,,,,,,,,,,,,,,,45%,,,,,1%,30%,,,,,,1,,,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,13,,,,,,,,,,1,,,,5%,,,,,,,4,,
R4c,A1.125,Lower Low,1-2,Bedrock,,Quadrat (0.25m2),,,,,,,,,,3,,,,,,,,,,,,,,,,75,,,,,,20%,,,,,2,,,8%,,,,,,,,,,,,,,,,2,10%,,,,,,,,,,5%,,,,,,,,,,,,,,,,4,,,,,,,,,,,300,,,,,,,,
